Business,1/6/2014,1/7/2014,1/8/2014,1/9/2014,1/10/2014,1/11/2014,1/12/2014,1/13/2014,1/14/2014,1/15/2014,1/16/2014,1/17/2014,1/18/2014,1/19/2014
Brew've Been Served,185.27,341.64,379.9,376.95,603.23,0,0,269.48,157.36,223.61,337.18,249.42,0,0
Hallowed Grounds,173.75,252.12,149.29,352.98,108.06,0,0,113.17,171.54,158.06,237.13,132.18,0,0
Coffee Cameleon,52.18,100.75,50.73,48.59,42.99,0,0,60.06,44.94,96.2,130.33,48.72,0,0
Abila Airport,7803.4,7376.55,5492.3,11892.17,4039.36,0,0,10262.58,8526.01,4028.28,8732.81,0,0,0
Kronos Pipe and Irrigation,242.21,3920.82,3615.61,423.14,0,0,0,2892.74,0,2564,0,0,0,0
Nationwide Refinery,761.64,4870.64,8187.48,3726.47,3855.55,0,0,204.58,7307.44,6299.99,8284.39,0,0,0
Maximum Iron and Steel,2859.51,3207.31,3136.01,1527.14,0,0,0,689.85,0,4788.22,0,0,0,0
Stewart and Sons Fabrication,2144.62,4006.43,3412.03,5478.25,8269.59,0,0,0,878.71,9286.06,5483.61,1753.17,0,0
Carlyle Chemical Inc.,3959.66,4803.13,12933.71,3820.92,227.81,0,0,1718.96,7956.44,6112.85,2234.17,0,0,0
Coffee Shack,51.51,16.63,13.13,5.01,0,0,0,4.09,3.63,0,10.48,19.16,0,0
Bean There Done That,44.42,159.42,132.54,32.59,60.69,0,0,175.25,114.93,132.67,153.45,71.93,0,0
Brewed Awakenings,26.96,155.32,39.08,42.58,33.89,0,0,85.34,36.79,95.24,30.83,102.85,0,0
Jack's Magical Beans,75.56,131.9,66.36,81.22,45.66,0,0,50.69,159.06,120.05,43.49,26.68,0,0
Katerina’s Café,495.51,604.45,576.32,491.39,295.55,721.79,387.79,624.5,567.6,487.51,577.68,445.46,632.88,377.94
Hippokampos,458.39,417.39,436.06,361.93,435.69,736.12,567.8,511.53,354.82,635.54,456.35,342.68,471.03,490.57
Abila Zacharo,380.46,264.6,148.69,189.66,251.44,221.58,11.2,326.19,89.87,268.93,234.12,230.86,193.85,47.8
Gelatogalore,95.12,381.09,437.84,204.59,58.34,36.05,56.29,269.62,308.23,147.54,77.54,150.68,84.38,22.36
Kalami Kafenion,163.66,119.72,183.53,195.67,188.97,195.86,68.95,20.33,131.68,200.89,121.34,385.19,260.4,0
Ouzeri Elian,131.47,349.52,337.51,170.56,177.25,105.16,406.81,203.5,419.44,194.08,134.17,211.13,193.41,169.72
Guy's Gyros,489.92,469.21,392.73,449.09,402.77,141.54,154.26,539.77,364.59,461.48,396.84,349.61,276.61,457.83
U-Pump,59.51,0,0,0,0,0,0,55.25,0,0,0,0,0,0
Frydos Autosupply n' More,1192.19,312.73,665.52,566.66,379.12,876.11,250.89,10455.22,238.67,549.72,183.38,451.89,923.7,363.89
Albert's Fine Clothing,398.66,387.27,136.01,454.5,126.13,316.8,259.17,337.48,279.49,228.15,375.09,39.41,451.67,528.95
Shoppers' Delight,293.67,0,0,258.43,279.53,545.17,688.9,360.83,0,162,177.53,444.34,258.33,30.39
Abila Scrapyard,0,2149.28,0,1158.36,0,0,0,0,4277.4,0,1897.05,0,0,0
Frank's Fuel,0,0,65.34,0,0,0,0,0,0,0,0,0,52.66,0
Chostus Hotel,0,0,219.4,0,330.66,0,0,0,222.62,0,0,273.84,600,0
General Grocer,0,0,265.84,285.34,227.28,78.02,159.3,0,0,126.2,0,98.03,286.09,70.22
Kronos Mart,0,0,0,0,203.91,0,277.26,306.36,58.85,0,298.83,286.24,0,432.53
Octavio's Office Supplies,0,0,0,0,204.23,0,0,0,131.73,0,131.01,0,0,0
Roberts and Sons,0,0,0,0,241.2,256.24,0,0,223.81,0,396.42,0,454.51,0
Ahaggo Museum,0,0,0,0,0,141.46,120.2,0,0,0,0,0,175.75,26.91
Desafio Golf Course,0,0,0,0,0,0,548.56,0,0,0,0,0,0,744.94
Daily Dealz,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0
