,location,date,revenue,freq
698,Kronos Mart,1/12/2014,277.26,1.0
715,Desafio Golf Course,1/12/2014,220.77,1.0
729,Shoppers' Delight,1/12/2014,211.03,1.0
722,Albert's Fine Clothing,1/12/2014,195.81,1.0
751,Frydos Autosupply n' More,1/12/2014,161.96,1.0
721,General Grocer,1/12/2014,159.3,1.0
724,Ahaggo Museum,1/12/2014,120.2,1.0
705,Ouzeri Elian,1/12/2014,117.22,1.0
752,Katerina’s Café,1/12/2014,87.09,1.0
743,Hippokampos,1/12/2014,78.21,1.0
710,Kalami Kafenion,1/12/2014,54.36,1.0
728,Guy's Gyros,1/12/2014,42.32,1.0
737,Gelatogalore,1/12/2014,36.2,1.0
708,Abila Zacharo,1/12/2014,11.2,1.0
