,timestamp,location,revenue,freq
621,1/11/2014,Abila Zacharo,189.56,3.0
633,1/11/2014,Ahaggo Museum,89.32,1.0
617,1/11/2014,Albert's Fine Clothing,211.47,1.0
628,1/11/2014,Frydos Autosupply n' More,261.0,1.0
612,1/11/2014,Gelatogalore,17.31,1.0
588,1/11/2014,General Grocer,78.02,1.0
615,1/11/2014,Guy's Gyros,55.69,1.0
600,1/11/2014,Hippokampos,20.87,1.0
608,1/11/2014,Kalami Kafenion,39.36,1.0
624,1/11/2014,Katerina’s Café,27.46,1.0
601,1/11/2014,Ouzeri Elian,69.36,1.0
587,1/11/2014,Shoppers' Delight,238.52,1.0
