,location,date,revenue,freq
157,Abila Airport,1/7/2014,7376.55,3.0
220,Carlyle Chemical Inc.,1/7/2014,4803.13,1.0
219,Kronos Pipe and Irrigation,1/7/2014,3920.82,1.0
222,Maximum Iron and Steel,1/7/2014,3207.31,1.0
218,Abila Scrapyard,1/7/2014,2149.28,1.0
160,Stewart and Sons Fabrication,1/7/2014,1843.33,1.0
161,Nationwide Refinery,1/7/2014,1562.66,1.0
243,Frydos Autosupply n' More,1/7/2014,312.73,1.0
229,Albert's Fine Clothing,1/7/2014,308.36,1.0
145,Brew've Been Served,1/7/2014,98.53,1.0
199,Ouzeri Elian,1/7/2014,97.71,1.0
237,Katerina’s Café,1/7/2014,94.75,1.0
242,Guy's Gyros,1/7/2014,89.76,1.0
208,Gelatogalore,1/7/2014,88.97,1.0
135,Hallowed Grounds,1/7/2014,84.44,1.0
184,Abila Zacharo,1/7/2014,82.25,1.0
213,Hippokampos,1/7/2014,76.11,1.0
167,Brewed Awakenings,1/7/2014,71.59,1.0
174,Jack's Magical Beans,1/7/2014,69.84,1.0
168,Bean There Done That,1/7/2014,53.89,1.0
150,Coffee Cameleon,1/7/2014,52.44,1.0
182,Kalami Kafenion,1/7/2014,45.05,1.0
162,Coffee Shack,1/7/2014,16.63,1.0
