,timestamp,location,revenue,freq
532,1/10/2014,Abila Zacharo,171.44,7.0
540,1/10/2014,Albert's Fine Clothing,126.13,1.0
521,1/10/2014,Bean There Done That,13.41,1.0
516,1/10/2014,Brew've Been Served,14.45,1.0
518,1/10/2014,Brewed Awakenings,6.17,1.0
546,1/10/2014,Carlyle Chemical Inc.,227.81,1.0
575,1/10/2014,Chostus Hotel,113.25,1.0
513,1/10/2014,Coffee Cameleon,8.51,1.0
497,1/10/2014,Frydos Autosupply n' More,43.65,1.0
568,1/10/2014,Gelatogalore,39.4,1.0
553,1/10/2014,General Grocer,227.28,1.0
506,1/10/2014,Guy's Gyros,31.5,1.0
538,1/10/2014,Hallowed Grounds,8.34,1.0
582,1/10/2014,Hippokampos,32.01,1.0
574,1/10/2014,Jack's Magical Beans,5.46,1.0
551,1/10/2014,Kalami Kafenion,35.69,1.0
581,1/10/2014,Katerina’s Café,25.36,1.0
547,1/10/2014,Nationwide Refinery,2262.73,1.0
515,1/10/2014,Octavio's Office Supplies,64.51,1.0
566,1/10/2014,Ouzeri Elian,20.46,1.0
534,1/10/2014,Shoppers' Delight,279.53,1.0
548,1/10/2014,Stewart and Sons Fabrication,4195.49,1.0
